equation_id,section,label,equation,role
E18,Full physical problem,Free-surface heat loss,-k nabla T dot n = h_c(T-T_inf)+epsilon_rad sigma_SB(T^4-T_inf^4),Represents convective and radiative heat loss from the melt-pool free surface.
E19,Full physical problem,Marangoni shear condition,tau n dot t = (d sigma/dT) grad_s T dot t,Connects temperature gradients to tangential surface stress and boundary deformation.
E20,Observation model,Molten-region observation operator,"P^h(t)=O_h[Omega_m(t),T,u]",Makes explicit that the data are an observation of the molten region rather than the full physical state.
E21,Model reduction rationale,Observed-boundary modeling chain,full Stefan-Marangoni problem -> O_h -> xi-frame Gamma_h(t) -> Pi_M Gamma_h(t) -> q(t) -> dq/dt,Summarizes the observation-to-descriptor modeling chain without claiming a closed-form PDE reduction.
E22,Model reduction rationale,First-order relaxation approximation,"dq/dt = F(q) approx J(q-q_inf), with J approx -diag(k_i)",Motivates the diagonal attractor as a first-order local model near the quasi-steady state.
E23,Assumption audit,Regime-invariance check,"class(Pe,Ste,E*,Ma) remains unchanged under the prescribed perturbation set",Links nondimensional sensitivity to assumption robustness.
E24,Free-boundary model,Implicit boundary level set,Phi(x;theta)=|(xi-xi_c)/a_s|^n+|y/b|^m+|(z-z_c)/c|^p,Defines the analytic boundary manifold used for projection and residual calculation.
E25,Free-boundary model,Boundary projection objective,theta*(t)=argmin_theta N_b^{-1} sum_{x_j in Gamma_h(t)} (Phi(x_j;theta)-1)^2,Makes the superellipsoid fitting operation explicit as a constrained manifold projection.
E26,Free-boundary model,Geometry diagnostic errors,"epsilon_Gamma=[N_b^{-1} sum(Phi(x_j;theta*)-1)^2]^{1/2}, epsilon_V=|V_M-V_full|/(V_full+delta_V)",Defines the boundary and volume errors used for model selection.
E27,Reduced-order dynamics,Diagonal trajectory fit,"min_{q_inf,i in Q_i,k_i>=0} sum_{r in T_tr} [q_inf,i+(q_i(t_0)-q_inf,i) exp(-k_i(t_r-t_0))-q_i(t_r)]^2",States how the selected diagonal attractor state and rate are fitted directly to the training trajectory.
E28,Reduced-order dynamics,Coupled ridge identification,A*=argmin_A sum_{r in T_tr} ||dot q_r-A(q_inf-q_r)||_2^2+lambda_R||A||_F^2,States the regularized identification problem for the coupled overparameterization check.
E29,Model validation,State-wise validation relative RMSE,rRMSE_j = [N_val^{-1} sum_{r in T_val}(qhat_j(t_r)-q_j(t_r))^2]^{1/2}/(range(q_j)+delta_j),Defines the normalized validation metric used to compare diagonal and coupled dynamics.
E30,Error-budget interpretation,Weighted total error-budget inequality,E_total <= C_R E_reconstruction + C_Gamma E_geometry + C_V E_volume + C_D E_dynamics + C_P E_parameter,Links the diagnostic error taxonomy to sensitivity-weighted uncertainty accounting.
